Category,Enhancement,Priority,Description
High-Impact Enhancements,Real authentication for admins,High,"Replace the shared ADMIN_TOKEN with proper admin login, ideally Microsoft 365, Azure AD, Google Workspace SSO, or another company identity provider."
High-Impact Enhancements,Better employee identity validation,High,"Instead of maintaining allowed emails manually in .env, connect to a company user list, Azure AD, Google Directory, Supabase table, or HR export."
High-Impact Enhancements,Ticket status workflow,High,"Extend the workflow with assignedTo, updatedAt, resolvedAt, and internal IT notes in addition to Open, In Progress, Resolved, and Closed."
High-Impact Enhancements,Admin assignment,High,"Allow IT staff to assign tickets to specific technicians such as Mohammed, Hasan, or Jessica."
High-Impact Enhancements,Ticket comments and history,High,"Keep a timeline of status changes, internal notes, replies, and who changed what."
High-Impact Enhancements,Email notifications,High,"Send IT an email when a ticket is created and notify employees when ticket status changes."
High-Impact Enhancements,Employee confirmation page,Medium,"After submission, show a clean success screen with ticket ID, expected response time, and reference details."
Admin Dashboard Improvements,Assigned To column,High,"Add an assignee column so admins can quickly see who owns each ticket."
Admin Dashboard Improvements,Last Updated column,High,"Show when each ticket was last changed so stale tickets are easier to identify."
Admin Dashboard Improvements,SLA column,Medium,"Add SLA or due-time information to help prioritize urgent or overdue tickets."
Admin Dashboard Improvements,Advanced filters,Medium,"Add filters for department, assignee, date range, and unresolved tickets."
Admin Dashboard Improvements,Sorting,Medium,"Allow sorting by priority, creation date, last updated date, and SLA risk."
Admin Dashboard Improvements,Ticket detail side panel,Medium,"Use a side panel instead of a popup if the dashboard grows and admins need faster navigation."
Admin Dashboard Improvements,Quick actions,Medium,"Add quick actions such as Assign to me, Mark resolved, and Add internal note."
Admin Dashboard Improvements,Dashboard metrics,Medium,"Show tickets today, average resolution time, overdue tickets, and tickets by department."
Production Readiness,Move to database storage,High,"Move fully to Supabase or another database instead of relying on data/tickets.json."
Production Readiness,Secure database access,High,"If using Supabase, configure access rules carefully and keep sensitive operations server-side."
Production Readiness,Server logging,High,"Add logs for errors, ticket creation, ticket updates, and admin actions."
Production Readiness,Input validation and rate limiting,High,"Validate all fields and add rate limiting to reduce spam or abuse."
Production Readiness,Backups,High,"Set up backups if ticket data is important for company operations."
Production Readiness,Audit trail,High,"Record who changed a ticket, what changed, and when it happened."
Production Readiness,Secret management,High,"Keep .env secrets safe and avoid committing real tokens or service keys."
Form Improvements,Department dropdown,Medium,"Replace free-text department with a controlled dropdown list."
Form Improvements,Issue-specific questions,Medium,"Show additional questions depending on issue type, such as asset tag for hardware or location for network issues."
Form Improvements,File uploads,Medium,"Allow users to upload screenshots or supporting files."
Form Improvements,Priority guidance,Medium,"Add help text so users understand when to choose Low, Medium, High, or Critical."
Form Improvements,Auto-fill employee name,Medium,"Use the verified email mapping to auto-fill the employee name."
Form Improvements,Arabic and English support,Low,"Add bilingual support if company users need Arabic and English."
Recommended Next Step,Assignment and internal notes,High,"Add ticket assignment, internal notes, and updated timestamp next because it makes the dashboard much closer to a real IT helpdesk tool while staying simple."
